"Date","Time","Open","High","Low","Close","Vol","OI"
12/27/2012,16:00,1.39905,1.39925,1.38985,1.39175,119564,192982
12/28/2012,16:00,1.38925,1.39395,1.38335,1.39105,90761,195540
12/31/2012,16:00,1.39415,1.39455,1.38125,1.38355,64347,194145
01/02/2013,16:00,1.37855,1.37935,1.37385,1.37705,71546,195796
01/03/2013,16:00,1.37445,1.38165,1.37385,1.37635,114674,194421
01/04/2013,16:00,1.37255,1.37335,1.36025,1.36375,214217,195250
01/07/2013,16:00,1.36135,1.37035,1.36105,1.36765,120865,193258
01/08/2013,16:00,1.37255,1.37995,1.36785,1.37595,151434,192677
01/09/2013,16:00,1.38065,1.38075,1.36525,1.36865,138115,200086
01/10/2013,16:00,1.36515,1.36605,1.35525,1.36315,162785,201601
01/11/2013,16:00,1.35375,1.35605,1.34705,1.35045,191078,199318
01/14/2013,16:00,1.34685,1.35175,1.34455,1.34785,124245,198729
01/15/2013,16:00,1.34685,1.36175,1.34475,1.35515,232955,195564
01/16/2013,16:00,1.35515,1.36815,1.35445,1.35895,215825,195600
01/17/2013,16:00,1.35815,1.36375,1.33825,1.33955,258950,201855
01/18/2013,16:00,1.34085,1.34475,1.33765,1.33965,186900,203383
01/22/2013,16:00,1.34255,1.36075,1.33715,1.35595,384066,201109
01/23/2013,16:00,1.35555,1.36455,1.35505,1.35675,187725,204630
01/24/2013,16:00,1.35815,1.35985,1.33305,1.34045,213827,209449
01/25/2013,16:00,1.33475,1.33645,1.32545,1.32785,199823,213471
01/28/2013,16:00,1.32745,1.33305,1.32465,1.33085,155216,214596
01/29/2013,16:00,1.33195,1.33595,1.32745,1.33125,163385,218217
01/30/2013,16:00,1.33065,1.33125,1.32285,1.32535,179475,215762
01/31/2013,16:00,1.32685,1.33085,1.31825,1.32305,157560,215979
02/01/2013,16:00,1.31885,1.32035,1.30455,1.30705,260531,217246
02/04/2013,16:00,1.30615,1.31335,1.30195,1.31125,184773,216054
