"Date","Time","Open","High","Low","Close","Vol","OI"
06/15/2020,16:00,32690,32845,32250,32760,5850,6321
06/16/2020,16:00,32795,32950,32735,32850,3436,6334
06/17/2020,16:00,32860,32920,32575,32645,3206,5843
06/18/2020,16:00,32745,32835,32640,32730,2135,5853
06/19/2020,16:00,32705,32785,32565,32635,3481,5821
06/22/2020,16:00,32670,33020,32600,32905,5062,5708
06/23/2020,16:00,33045,33075,32920,32980,3811,4605
06/24/2020,16:00,32985,33005,32500,32605,8255,4605
06/25/2020,16:00,32575,32620,32320,32570,4195,4958
06/26/2020,16:00,32670,32670,32300,32450,4195,4958
06/29/2020,16:00,32405,32470,32280,32430,2742,5032
06/30/2020,16:00,32485,32525,32330,32415,2856,5081
07/01/2020,16:00,32430,32620,32370,32555,4789,5473
07/02/2020,16:00,32510,32565,32180,32290,6562,5209
07/06/2020,16:00,32395,32665,32290,32585,6890,5320
07/07/2020,16:00,32580,32685,32480,32520,2975,5166
07/08/2020,16:00,32540,32800,32515,32740,5163,5835
07/09/2020,16:00,32735,32775,32420,32485,5931,5136
07/10/2020,16:00,32505,32515,32375,32505,2296,4906
07/13/2020,16:00,32520,32640,32470,32500,2844,5061
07/14/2020,16:00,32505,32550,32365,32540,2869,5051
07/15/2020,16:00,32525,32550,32395,32420,2330,5010
07/16/2020,16:00,32470,32495,32270,32375,3344,4768
07/17/2020,16:00,32360,32450,32325,32425,1674,4627
07/20/2020,16:00,32430,32510,32385,32420,2432,4590
07/21/2020,16:00,32435,32710,32405,32625,5408,5367
07/22/2020,16:00,32645,32665,32525,32655,3117,5396
07/23/2020,16:00,32655,32965,32655,32880,6653,5718
07/24/2020,16:00,32895,32895,32735,32845,3110,5363
07/27/2020,16:00,33155,34285,33155,34125,16157,5638
07/28/2020,16:00,34310,34770,33865,34265,15293,4734
07/29/2020,16:00,34290,34580,34120,34470,3530,7079
07/30/2020,16:00,34570,34625,34070,34415,3917,8837
07/31/2020,16:00,34375,34820,34250,34655,9692,10075
08/03/2020,16:00,34395,34765,34225,34665,5333,10112
08/04/2020,16:00,34605,34645,34170,34415,6915,9590
08/05/2020,16:00,34430,35020,34235,34895,11366,10430
08/06/2020,16:00,34975,35130,34750,35085,10007,9380
08/07/2020,16:00,35035,35130,34440,34620,10007,9372
08/10/2020,16:00,34845,35265,34690,35060,9860,10047
08/11/2020,16:00,35050,35135,34235,34480,10291,8847
08/12/2020,16:00,34385,34790,34265,34710,6069,9257
08/13/2020,16:00,34645,34805,34385,34635,9980,9673
08/14/2020,16:00,34810,35045,34785,34980,9980,9673
08/17/2020,16:00,34995,35680,34950,35530,8883,10186
08/18/2020,16:00,35515,35600,34895,35080,10621,8995
08/19/2020,16:00,35145,35195,34625,34735,10164,7625
08/20/2020,16:00,34785,34995,34755,34940,9663,6845
08/21/2020,16:00,35170,35170,34645,34740,9663,6846
08/24/2020,16:00,34740,34910,34640,34815,7416,6119
08/25/2020,16:00,34810,34855,34160,34355,12762,4727
08/26/2020,16:00,34345,34615,34305,34525,2732,5576
08/27/2020,16:00,34515,34635,34100,34235,7783,8016
08/28/2020,16:00,34315,34595,34265,34525,7783,8015
