"Date","Time","Open","High","Low","Close","Vol","OI"
09/01/2023,16:00,1.2703,1.2744,1.2607,1.2623,98569,205538
09/05/2023,16:00,1.2619,1.2672,1.2557,1.2596,139352,204358
09/06/2023,16:00,1.2594,1.2618,1.2512,1.2536,100316,203441
09/07/2023,16:00,1.2534,1.2537,1.2475,1.2500,89044,203480
09/08/2023,16:00,1.2502,1.2544,1.2480,1.2480,67444,201135
09/11/2023,16:00,1.2499,1.2577,1.2499,1.2539,119462,183924
09/12/2023,16:00,1.2542,1.2560,1.2489,1.2515,112518,147141
09/13/2023,16:00,1.2524,1.2541,1.2463,1.2516,192793,147141
09/14/2023,16:00,1.2519,1.2535,1.2426,1.2431,101603,184249
09/15/2023,16:00,1.2436,1.2474,1.2407,1.2410,106835,184299
09/18/2023,16:00,1.2411,1.2438,1.2398,1.2402,62256,186657
09/19/2023,16:00,1.2413,1.2453,1.2397,1.2418,64387,186910
09/20/2023,16:00,1.2419,1.2452,1.2360,1.2390,153313,197330
09/21/2023,16:00,1.2371,1.2375,1.2261,1.2321,167592,211015
09/22/2023,16:00,1.2326,1.2327,1.2263,1.2274,114166,217749
09/25/2023,16:00,1.2273,1.2283,1.2226,1.2240,73811,220768
09/26/2023,16:00,1.2246,1.2249,1.2184,1.2189,80996,223094
09/27/2023,16:00,1.2190,1.2197,1.2143,1.2171,150094,231060
09/28/2023,16:00,1.2171,1.2257,1.2152,1.2227,130430,240033
09/29/2023,16:00,1.2238,1.2305,1.2213,1.2238,134361,235113
10/02/2023,16:00,1.2227,1.2253,1.2119,1.2139,105981,233889
10/03/2023,16:00,1.2121,1.2134,1.2086,1.2119,112416,235889
10/04/2023,16:00,1.2108,1.2210,1.2071,1.2171,135840,233781
10/05/2023,16:00,1.2171,1.2228,1.2140,1.2227,105366,231591
10/06/2023,16:00,1.2225,1.2294,1.2138,1.2279,129948,229568
10/09/2023,16:00,1.2230,1.2278,1.2197,1.2267,87666,226360
10/10/2023,16:00,1.2274,1.2325,1.2245,1.2312,99642,226500
10/11/2023,16:00,1.2320,1.2370,1.2299,1.2337,98007,226899
10/12/2023,16:00,1.2344,1.2363,1.2204,1.2206,103872,224154
10/13/2023,16:00,1.2208,1.2257,1.2155,1.2167,101084,219075
10/16/2023,16:00,1.2180,1.2251,1.2174,1.2244,71420,220501
10/17/2023,16:00,1.2247,1.2249,1.2165,1.2207,98474,218627
10/18/2023,16:00,1.2216,1.2243,1.2169,1.2176,87211,220833
