strategy_name,hold_bars,stop_distance_points,min_avg_range,momentum_lookback,total_trades,trades_per_year,passes_trade_filter,reject_reason,net_pnl,gross_profit,gross_loss,average_trade,profit_factor,max_drawdown,win_rate,average_mae_points,average_mfe_points,is_trades,oos_trades,is_pf,oos_pf,recent_12m_trades,recent_12m_pf,quality_flag,quality_score,pct_profitable_years,max_consecutive_losing_years,consistency_flag,strategy_type,combo_filters,combo_filter_class_names
RefinedTrend_HB16_ATR2.0_VOL0.0_MOM28,16,2.0,0.0,28,698,38.34328470446684,True,ACCEPT,1713.0,324486.5,-322773.5,2.45,1.01,-67126.5,48.85,-10.19,10.63,404,294,0.58,1.36,54,1.62,REGIME_DEPENDENT,0.4749,0.5263,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB16_ATR1.5_VOL0.0_MOM0,16,1.5,0.0,0,740,40.65047375545195,True,ACCEPT,937.5,549392.0,-548454.5,1.27,1.0,-70295.5,45.95,-9.59,10.3,417,323,0.74,1.17,57,1.18,MARGINAL_BORDERLINE,0.4781,0.4737,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB16_ATR1.5_VOL0.0_MOM16,16,1.5,0.0,16,740,40.65047375545195,True,ACCEPT,937.5,549392.0,-548454.5,1.27,1.0,-70295.5,45.95,-9.59,10.3,417,323,0.74,1.17,57,1.18,MARGINAL_BORDERLINE,0.4781,0.4737,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB16_ATR1.5_VOL0.0_MOM28,16,1.5,0.0,28,711,39.05741464881937,True,ACCEPT,181.5,428406.5,-428225.0,0.26,1.0,-80533.5,46.55,-9.6,10.24,406,305,0.62,1.3,57,1.39,REGIME_DEPENDENT,0.4811,0.5789,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB24_ATR2.5_VOL0.0_MOM10,24,2.5,0.0,10,733,40.26594224695443,True,ACCEPT,-1073.0,258718.0,-259791.0,-1.46,1.0,-38699.0,49.11,-12.11,12.58,427,306,0.65,1.21,54,1.14,REGIME_DEPENDENT,0.4446,0.3158,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB10_ATR2.5_VOL0.0_MOM20,10,2.5,0.0,20,769,42.24353286208452,True,ACCEPT,-1096.5,176091.5,-177188.0,-1.43,0.99,-45412.0,48.63,-8.68,8.42,451,318,0.47,1.44,49,2.43,REGIME_DEPENDENT,0.4931,0.3684,12,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB12_ATR2.5_VOL0.0_MOM0,12,2.5,0.0,0,752,41.30967062716198,True,ACCEPT,-1461.5,187390.5,-188852.0,-1.94,0.99,-35431.5,47.61,-9.36,9.3,438,314,0.61,1.28,53,1.46,REGIME_DEPENDENT,0.4648,0.4737,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB12_ATR2.5_VOL0.0_MOM16,12,2.5,0.0,16,752,41.30967062716198,True,ACCEPT,-1461.5,187390.5,-188852.0,-1.94,0.99,-35431.5,47.61,-9.36,9.3,438,314,0.61,1.28,53,1.46,REGIME_DEPENDENT,0.4648,0.4737,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB20_ATR2.5_VOL0.0_MOM10,20,2.5,0.0,10,751,41.25473755451947,True,ACCEPT,-2834.5,232386.5,-235221.0,-3.77,0.99,-38698.0,46.34,-11.26,11.48,439,312,0.6,1.26,55,1.27,REGIME_DEPENDENT,0.4437,0.3684,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB10_ATR1.5_VOL0.0_MOM20,10,1.5,0.0,20,783,43.01259587907956,True,ACCEPT,-3413.0,363924.0,-367337.0,-4.36,0.99,-90073.5,46.23,-8.04,8.19,452,331,0.49,1.42,53,1.81,REGIME_DEPENDENT,0.449,0.3684,12,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB12_ATR2.5_VOL0.0_MOM28,12,2.5,0.0,28,713,39.16728079410438,True,ACCEPT,-3697.0,178871.5,-182568.5,-5.19,0.98,-44229.0,46.0,-9.66,9.4,418,295,0.51,1.38,52,1.81,REGIME_DEPENDENT,0.4704,0.4737,5,INCONSISTENT,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB10_ATR2.5_VOL0.0_MOM0,10,2.5,0.0,0,779,42.79286358850955,True,ACCEPT,-3906.5,181758.5,-185665.0,-5.01,0.98,-36703.0,49.42,-8.88,8.42,454,325,0.61,1.26,53,1.94,REGIME_DEPENDENT,0.5143,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB10_ATR2.5_VOL0.0_MOM16,10,2.5,0.0,16,779,42.79286358850955,True,ACCEPT,-3906.5,181758.5,-185665.0,-5.01,0.98,-36703.0,49.42,-8.88,8.42,454,325,0.61,1.26,53,1.94,REGIME_DEPENDENT,0.5143,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
RefinedTrend_HB10_ATR2.0_VOL0.0_MOM0,10,2.0,0.0,0,784,43.06752895172206,True,ACCEPT,-4319.5,329053.5,-333373.0,-5.51,0.99,-62658.5,48.6,-8.56,8.35,454,330,0.61,1.25,54,1.86,REGIME_DEPENDENT,0.507,0.5263,4,MIXED,trend,"PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter","PullbackFilter,RecoveryTriggerFilter,MomentumFilter,UpCloseFilter,TrendSlopeFilter"
